Time,Q1,Q2,T1,T2
4605.650824,2,0,59.89,0
4606.651673,2,0,59.89,0
4607.651996,2,0,59.6,0
4608.652397,2,0,59.57,0
4609.653319,2,0,59.51,0
4610.65347,2,0,59.25,0
4611.671554,2,0,59.25,0
4612.672793,2,0,58.93,0
4613.691405,2,0,58.93,0
4614.692183,2,0,58.6,0
4615.6929,2,0,58.6,0
4616.693758,2,0,58.35,0
4617.695714,2,0,58.28,0
4618.696196,2,0,58.12,0
4619.696888,2,0,57.96,0
4620.698404,2,0,57.83,0
4621.701367,2,0,57.64,0
4622.701626,2,0,57.6,0
4623.701982,2,0,57.31,0
4624.702466,2,0,57.25,0
4625.703139,2,0,56.99,0
4626.704013,2,0,56.96,0
4627.705252,2,0,56.67,0
4628.706156,2,0,56.67,0
4629.707474,2,0,56.32,0
4630.711078,2,0,56.35,0
4631.711304,2,0,56.03,0
4632.7122,2,0,56.03,0
4633.713235,2,0,55.7,0
4634.731618,2,0,55.7,0
4635.741327,2,0,55.38,0
4636.741657,2,0,55.35,0
4637.742125,2,0,55.06,0
4638.74248,2,0,55.06,0
4639.743502,2,0,54.74,0
4640.743552,2,0,54.74,0
4641.743713,2,0,54.41,0
4642.744798,2,0,54.41,0
4643.761702,2,0,54.12,0
4644.763111,2,0,54.09,0
4645.764091,2,0,53.77,0
4646.7653,2,0,53.77,0
4647.766481,2,0,53.48,0
4648.766893,2,0,53.45,0
4649.767554,2,0,53.16,0
4650.768437,2,0,53.13,0
4651.769697,2,0,52.9,0
4652.77101,2,0,52.8,0
4653.771541,2,0,52.54,0
4654.77278,2,0,52.48,0
4655.774327,2,0,52.25,0
4656.776065,2,0,52.16,0
4657.776836,2,0,51.87,0
4658.777646,2,0,51.84,0
4659.777809,2,0,51.51,0
4660.778229,2,0,51.51,0
4661.779104,2,0,51.29,0
4662.780038,2,0,51.19,0
4663.781093,2,0,51.19,0
4664.782495,2,0,50.87,0
4665.783345,2,0,50.8,0
4666.783947,2,0,50.55,0
4667.784641,2,0,50.51,0
4668.785325,2,0,50.22,0
4669.786949,2,0,50.1,0
4670.787762,2,0,49.9,0
4671.788687,2,0,49.74,0
4672.789188,2,0,49.58,0
4673.790334,2,0,49.58,0
4674.791657,2,0,49.29,0
4675.791646,2,0,49.26,0
4676.792351,2,0,49.23,0
4677.793953,2,0,48.94,0
4678.795103,2,0,48.94,0
4679.801483,2,0,48.61,0
4680.802094,2,0,48.45,0
4681.802968,2,0,48.29,0
4682.804257,2,0,48.29,0
4683.804291,2,0,47.97,0
4684.805457,2,0,47.97,0
4685.805983,2,0,47.97,0
4686.807482,2,0,47.74,0
4687.807805,2,0,47.65,0
4688.808635,2,0,47.65,0
4689.809087,2,0,47.32,0
4690.80991,2,0,47.32,0
4691.810645,2,0,47.1,0
4692.811755,2,0,47,0
4693.812696,2,0,47,0
4694.814244,2,0,46.68,0
4695.814664,2,0,46.68,0
4696.815606,2,0,46.68,0
4697.81685,2,0,46.36,0
4698.81853,2,0,46.36,0
4699.818923,2,0,46.2,0
4700.819596,2,0,46.04,0
4701.82,2,0,46.04,0
4702.820985,2,0,45.78,0
4703.822427,2,0,45.71,0
4704.822848,2,0,45.71,0
4705.824007,2,0,45.42,0
4706.824868,2,0,45.39,0
